time,msd
0.000,8.98333
10.000,105.97644
20.000,199.04742
30.000,297.43880
40.000,363.90816
50.000,410.73938
60.000,495.48874
70.000,585.33580
80.000,660.98031
90.000,727.19571
100.000,794.14630
110.000,882.89055
120.000,979.49649
130.000,1047.98629
140.000,1080.10727
150.000,1111.17553
160.000,1185.10203
170.000,1295.20094
180.000,1374.23983
190.000,1472.46503
200.000,1508.69927
210.000,1629.21904
220.000,1727.60190
230.000,1813.47093
240.000,1860.85706
250.000,1900.99469
260.000,1998.68660
270.000,2073.55827
280.000,2072.32895
290.000,2072.38394
300.000,2198.30536
310.000,2232.76869
320.000,2332.29713
330.000,2386.38488
340.000,2418.79268
350.000,2505.38061
360.000,2569.07193
370.000,2591.48624
380.000,2629.86461
390.000,2629.39701
400.000,2648.48317
410.000,2615.44974
420.000,2615.96875
430.000,2736.55078
440.000,2732.66921
450.000,2798.35759
460.000,2794.37952
470.000,2814.90547
480.000,2843.88176
490.000,2912.82453
500.000,2939.09983
510.000,2991.57845
520.000,3086.97918
530.000,3155.27660
540.000,3191.41738
550.000,3212.88701
560.000,3287.48996
570.000,3383.08959
580.000,3367.17430
590.000,3426.48156
600.000,3547.20187
610.000,3629.74949
620.000,3750.02972
630.000,3764.70006
640.000,3803.54615
650.000,3838.16971
660.000,3986.99438
670.000,4111.29666
680.000,4101.17869
690.000,4241.08009
700.000,4382.67652
710.000,4339.44666
720.000,4424.81977
730.000,4450.60802
740.000,4452.11927
750.000,4499.19713
760.000,4505.09038
770.000,4527.05812
780.000,4477.93448
790.000,4493.33421
800.000,4614.41923
810.000,4676.86222
820.000,4722.67101
830.000,4814.06189
840.000,4854.91848
850.000,5013.78273
860.000,4950.28959
870.000,4943.09032
880.000,4904.76436
890.000,4932.71466
900.000,5026.56643
910.000,5008.78579
920.000,5134.39700
930.000,5033.46668
940.000,5048.35756
950.000,5011.36968
960.000,5104.21117
970.000,5218.20869
980.000,5271.75535
990.000,5332.73445
1000.000,5381.57197
1010.000,5328.44118
1020.000,5382.33904
1030.000,5571.48157
1040.000,5601.36454
1050.000,5619.94264
1060.000,5616.15025
1070.000,5620.57701
1080.000,5708.41198
1090.000,5790.13403
1100.000,5816.13572
1110.000,5863.13815
1120.000,5873.89631
1130.000,5861.80917
1140.000,5893.43985
1150.000,5828.18612
1160.000,5841.97242
1170.000,5776.28365
1180.000,5629.55870
1190.000,5717.43448
1200.000,5702.71712
1210.000,5913.26767
1220.000,5950.42025
1230.000,5906.06095
1240.000,5888.66636
1250.000,5964.99440
1260.000,5966.17367
1270.000,6026.23584
1280.000,6081.03994
1290.000,6176.19526
1300.000,6322.47677
1310.000,6382.63268
1320.000,6505.90677
1330.000,6558.86165
1340.000,6455.12940
1350.000,6397.93312
1360.000,6465.00232
1370.000,6294.27809
1380.000,6355.15948
1390.000,6366.84092
1400.000,6427.62901
1410.000,6484.99627
1420.000,6495.12270
1430.000,6616.10336
1440.000,6608.01346
1450.000,6590.35231
1460.000,6547.43249
1470.000,6589.21106
1480.000,6590.74854
1490.000,6591.19362
1500.000,6692.85144
1510.000,6799.23135
1520.000,6729.56788
1530.000,6866.87516
1540.000,6869.35583
1550.000,6915.84950
1560.000,6839.19414
1570.000,6962.52915
1580.000,6906.69817
1590.000,6945.22743
1600.000,7075.96233
1610.000,7179.14753
1620.000,7247.20967
1630.000,7352.40040
1640.000,7172.42070
1650.000,7008.45350
1660.000,7041.85638
1670.000,7089.64268
1680.000,7125.52582
1690.000,7251.01290
1700.000,7303.95658
1710.000,7332.11114
1720.000,7475.45382
1730.000,7499.45956
1740.000,7485.86690
1750.000,7487.68406
1760.000,7389.71638
1770.000,7481.44636
1780.000,7453.89632
1790.000,7299.33540
1800.000,7541.43568
1810.000,7697.40632
1820.000,7696.02958
1830.000,7713.23083
1840.000,7826.97876
1850.000,7842.00531
1860.000,7756.69615
1870.000,7769.41638
1880.000,8007.21156
1890.000,7928.05965
1900.000,8015.45296
1910.000,8059.28756
1920.000,8014.43205
1930.000,8194.58922
1940.000,8189.63044
1950.000,8214.27641
1960.000,8268.10581
1970.000,8387.72380
1980.000,8264.91024
1990.000,8330.37974
2000.000,8460.02809
2010.000,8605.34688
2020.000,8660.71510
2030.000,8568.45077
2040.000,8603.65955
2050.000,8661.03518
2060.000,8833.26792
2070.000,9033.93258
2080.000,9017.54201
2090.000,8886.14587
2100.000,8810.92214
2110.000,8906.74391
2120.000,8952.91256
2130.000,8934.71744
2140.000,8963.66329
2150.000,9006.57090
2160.000,9112.89023
2170.000,9132.68539
2180.000,9074.55987
2190.000,9041.37394
2200.000,9028.42938
2210.000,8901.25680
2220.000,8927.21204
2230.000,8922.62376
2240.000,8991.07271
2250.000,8959.39572
2260.000,9000.08809
2270.000,9105.22317
2280.000,9029.47780
2290.000,9108.04793
2300.000,9141.30622
2310.000,9278.36559
2320.000,9210.97450
2330.000,9233.72143
2340.000,9170.27111
2350.000,9227.68792
2360.000,9132.50427
2370.000,9149.46480
2380.000,9187.11513
2390.000,9162.36758
2400.000,9341.93641
2410.000,9469.59854
2420.000,9610.05671
2430.000,9448.64419
2440.000,9550.14683
2450.000,9571.67770
2460.000,9643.11229
2470.000,9714.65210
2480.000,9663.49806
2490.000,9987.12393
2500.000,9916.06026
2510.000,10019.23494
2520.000,9933.98190
2530.000,9945.20823
2540.000,9900.57808
2550.000,9958.78154
2560.000,10087.98804
2570.000,10140.01283
2580.000,10240.02223
2590.000,10275.38849
2600.000,10278.14211
2610.000,10340.16788
2620.000,10472.00139
2630.000,10351.72498
2640.000,10394.28475
2650.000,10382.78487
2660.000,10362.52973
2670.000,10393.86809
2680.000,10436.76304
2690.000,10595.90161
2700.000,10637.28486
2710.000,10735.01671
2720.000,10738.59214
2730.000,10688.61388
2740.000,10685.00069
2750.000,10842.59731
2760.000,10926.46469
2770.000,10902.05480
2780.000,10893.83137
2790.000,10976.32351
2800.000,11054.09357
2810.000,11156.20809
2820.000,11367.08023
2830.000,11488.39820
2840.000,11498.41006
2850.000,11588.34090
2860.000,11587.75382
2870.000,11530.88857
2880.000,11421.77798
2890.000,11404.39261
2900.000,11399.34247
2910.000,11476.28937
2920.000,11523.43717
2930.000,11488.63049
2940.000,11465.93412
2950.000,11568.63539
2960.000,11655.08594
2970.000,11755.19677
2980.000,11781.01816
2990.000,11799.59481
3000.000,11873.24344
3010.000,11965.42474
3020.000,12083.16636
3030.000,12185.13652
3040.000,12331.26148
3050.000,12324.43927
3060.000,12404.05553
3070.000,12581.62373
3080.000,12636.53779
3090.000,12669.80103
3100.000,12871.14907
3110.000,12928.91982
3120.000,13077.32856
3130.000,12929.83875
3140.000,12882.15814
3150.000,12859.58880
3160.000,13052.33753
3170.000,13019.78570
3180.000,12972.26353
3190.000,13149.93421
3200.000,13187.57224
3210.000,13312.34915
3220.000,13446.73602
3230.000,13272.83378
3240.000,13348.49221
3250.000,13474.30378
3260.000,13630.06874
3270.000,13522.46085
3280.000,13492.44074
3290.000,13626.21986
3300.000,13665.36656
3310.000,13557.42751
3320.000,13775.84670
3330.000,13778.27194
3340.000,13898.76355
3350.000,14023.90145
3360.000,14028.49265
3370.000,14083.63196
3380.000,14091.22678
3390.000,14077.27132
3400.000,14050.46910
3410.000,14151.75854
3420.000,14162.29999
3430.000,14502.74083
3440.000,14557.23104
3450.000,14564.77495
3460.000,14666.72292
3470.000,14690.43926
3480.000,14617.18081
3490.000,14584.96632
3500.000,14711.31250
3510.000,14743.23674
3520.000,14705.62069
3530.000,14778.10738
3540.000,14730.71266
3550.000,14660.92778
3560.000,14730.48748
3570.000,14917.86903
3580.000,14902.64175
3590.000,14792.53940
3600.000,14801.92222
3610.000,14844.99909
3620.000,14798.79240
3630.000,14996.65825
3640.000,14994.74144
3650.000,15067.23385
3660.000,15106.67703
3670.000,15125.09158
3680.000,14923.27169
3690.000,15154.01537
3700.000,15081.49181
3710.000,15145.13546
3720.000,15273.68396
3730.000,15442.73540
3740.000,15481.47344
3750.000,15499.15581
3760.000,15526.95065
3770.000,15557.93641
3780.000,15406.02942
3790.000,15206.61781
3800.000,15219.88288
3810.000,15360.51493
3820.000,15352.64162
3830.000,15207.98581
3840.000,15421.64280
3850.000,15566.00055
3860.000,15722.69709
3870.000,15858.41372
3880.000,15696.73867
3890.000,16076.48034
3900.000,16064.09590
3910.000,16048.26824
3920.000,16269.83681
3930.000,16375.89433
3940.000,16263.29087
3950.000,16315.72064
