time,nonsense,msd
0.000,26488.85621,264.88856
1.000,33168.90306,331.68903
2.000,36284.58569,362.84586
3.000,38117.00727,381.17007
4.000,40386.08292,403.86083
5.000,42004.50993,420.04510
6.000,43742.95660,437.42957
7.000,44544.88960,445.44890
8.000,45833.59821,458.33598
9.000,46607.00335,466.07003
10.000,47977.27466,479.77275
11.000,48925.60631,489.25606
12.000,49542.58452,495.42585
13.000,50893.92358,508.93924
14.000,50918.54739,509.18547
15.000,50959.11144,509.59111
16.000,52132.02379,521.32024
17.000,53044.53009,530.44530
18.000,53823.54544,538.23545
19.000,53681.82941,536.81829
20.000,55585.34183,555.85342
21.000,55216.77238,552.16772
22.000,56188.23491,561.88235
23.000,56162.56098,561.62561
24.000,58885.85398,588.85854
25.000,59701.51926,597.01519
26.000,59713.54186,597.13542
27.000,60073.38927,600.73389
28.000,61614.29639,616.14296
29.000,61797.77262,617.97773
30.000,62712.27822,627.12278
31.000,63852.05929,638.52059
32.000,64550.95620,645.50956
33.000,65609.54613,656.09546
34.000,66281.25519,662.81255
35.000,66815.77853,668.15779
36.000,67522.90918,675.22909
37.000,66909.07873,669.09079
38.000,68152.18532,681.52185
39.000,67780.93366,677.80934
40.000,67950.52046,679.50520
41.000,69882.92025,698.82920
42.000,71120.42989,711.20430
43.000,70149.99419,701.49994
44.000,69977.06261,699.77063
45.000,70804.37199,708.04372
46.000,71999.39660,719.99397
47.000,72835.27710,728.35277
48.000,73464.81801,734.64818
49.000,72890.07856,728.90079
50.000,72988.54301,729.88543
51.000,73634.07641,736.34076
52.000,75531.00681,755.31007
53.000,77028.60075,770.28601
54.000,78331.13384,783.31134
55.000,77806.29160,778.06292
56.000,78543.12444,785.43124
57.000,79657.96185,796.57962
58.000,80933.44142,809.33441
59.000,81294.82721,812.94827
60.000,81310.23531,813.10235
61.000,81251.65580,812.51656
62.000,82664.09215,826.64092
63.000,84154.85845,841.54858
64.000,84206.21233,842.06212
65.000,84871.32539,848.71325
66.000,84853.69806,848.53698
67.000,84868.14579,848.68146
68.000,85074.81268,850.74813
69.000,84786.51916,847.86519
70.000,84940.78431,849.40784
71.000,85903.46760,859.03468
72.000,87214.16540,872.14165
73.000,88984.71984,889.84720
74.000,89503.28578,895.03286
75.000,90796.73381,907.96734
76.000,88860.73648,888.60736
77.000,89606.75357,896.06754
78.000,90376.15947,903.76159
79.000,90674.26706,906.74267
80.000,92525.71487,925.25715
81.000,94256.25900,942.56259
82.000,94859.03136,948.59031
83.000,94668.96461,946.68965
84.000,93293.97368,932.93974
85.000,93721.01430,937.21014
86.000,95525.34015,955.25340
87.000,94235.51501,942.35515
88.000,94121.44851,941.21449
89.000,94799.28902,947.99289
90.000,96735.33039,967.35330
91.000,99268.00541,992.68005
92.000,100068.23022,1000.68230
93.000,101913.89577,1019.13896
94.000,101638.93038,1016.38930
95.000,101739.64210,1017.39642
96.000,102708.93842,1027.08938
97.000,102683.84376,1026.83844
98.000,101831.65690,1018.31657
99.000,102711.70369,1027.11704
100.000,102583.46727,1025.83467
101.000,102697.24781,1026.97248
102.000,104188.20553,1041.88206
103.000,104957.80290,1049.57803
104.000,104043.34212,1040.43342
105.000,104787.62637,1047.87626
106.000,104869.49146,1048.69491
107.000,106176.67662,1061.76677
108.000,105819.05933,1058.19059
109.000,104599.09849,1045.99098
110.000,103009.26975,1030.09270
111.000,104253.96200,1042.53962
112.000,103777.52195,1037.77522
113.000,103789.41076,1037.89411
114.000,104030.02899,1040.30029
115.000,105177.67272,1051.77673
116.000,106509.00602,1065.09006
117.000,106338.03045,1063.38030
118.000,107671.26717,1076.71267
119.000,108336.40224,1083.36402
