Position,XY,XZ,YZ,
0,0.86507,0.85562,0.83763,
1,0.86539,0.85189,0.83564,
2,0.86637,0.84862,0.83485,
3,0.86776,0.84570,0.83450,
4,0.86924,0.84428,0.83439,
5,0.87065,0.84241,0.83352,
6,0.87154,0.84058,0.83271,
7,0.87252,0.83887,0.83192,
8,0.87347,0.83681,0.83091,
9,0.87496,0.83428,0.82919,
10,0.87668,0.83244,0.82681,
11,0.87768,0.83091,0.82427,
12,0.87814,0.82975,0.82373,
13,0.87811,0.82862,0.82418,
14,0.87800,0.82725,0.82473,
15,0.87757,0.82556,0.82496,
16,0.87669,0.82421,0.82535,
17,0.87516,0.82319,0.82579,
18,0.87283,0.82244,0.82626,
19,0.86969,0.82114,0.82715,
20,0.86601,0.82056,0.82775,
21,0.86252,0.82064,0.82815,
22,0.85978,0.82023,0.82783,
23,0.85680,0.81953,0.82689,
24,0.85370,0.81937,0.82566,
25,0.85075,0.81882,0.82486,
26,0.84704,0.81837,0.82441,
27,0.84294,0.81877,0.82362,
28,0.83853,0.81929,0.82314,
29,0.83403,0.81970,0.82293,
30,0.83015,0.81970,0.82292,
31,0.82648,0.81909,0.82262,
32,0.82250,0.81779,0.82191,
33,0.81850,0.81600,0.82144,
34,0.81459,0.81369,0.82098,
35,0.81012,0.81091,0.82050,
36,0.80524,0.80812,0.81951,
37,0.79986,0.80670,0.81874,
38,0.79409,0.80547,0.81775,
39,0.78834,0.80471,0.81640,
40,0.78251,0.80390,0.81561,
41,0.77664,0.80285,0.81599,
42,0.77058,0.80189,0.81588,
43,0.76483,0.80089,0.81574,
44,0.76000,0.79963,0.81603,
45,0.75502,0.79832,0.81598,
46,0.75106,0.79708,0.81581,
47,0.74730,0.79634,0.81538,
48,0.74369,0.79613,0.81440,
49,0.74106,0.79580,0.81303,
50,0.73879,0.79553,0.81163,
51,0.73725,0.79608,0.80965,
52,0.73647,0.79599,0.80854,
53,0.73543,0.79566,0.80843,
54,0.73451,0.79696,0.80798,
55,0.73363,0.79902,0.80711,
56,0.73422,0.80074,0.80658,
57,0.73537,0.80219,0.80592,
58,0.73626,0.80403,0.80477,
59,0.73657,0.80548,0.80427,
60,0.73702,0.80724,0.80400,
61,0.73842,0.80901,0.80362,
62,0.74050,0.81094,0.80248,
63,0.74324,0.81338,0.80188,
64,0.74591,0.81622,0.80218,
65,0.74878,0.81934,0.80212,
66,0.75247,0.82278,0.80176,
67,0.75637,0.82681,0.80096,
68,0.75978,0.83072,0.79962,
69,0.76467,0.83426,0.79831,
70,0.76972,0.83788,0.79660,
71,0.77486,0.84134,0.79563,
72,0.77972,0.84400,0.79491,
73,0.78405,0.84608,0.79514,
74,0.78800,0.84764,0.79536,
75,0.79117,0.84906,0.79494,
76,0.79385,0.85018,0.79432,
77,0.79580,0.85156,0.79307,
78,0.79720,0.85309,0.79148,
79,0.79852,0.85413,0.78991,
80,0.80067,0.85438,0.78829,
81,0.80388,0.85447,0.78704,
82,0.80710,0.85403,0.78598,
83,0.81059,0.85335,0.78476,
84,0.81327,0.85304,0.78513,
85,0.81609,0.85379,0.78530,
86,0.81907,0.85451,0.78493,
87,0.82153,0.85481,0.78484,
88,0.82438,0.85450,0.78461,
89,0.82694,0.85338,0.78410,
90,0.82988,0.85146,0.78337,
91,0.83294,0.84935,0.78275,
92,0.83539,0.84650,0.78213,
93,0.83753,0.84288,0.78189,
94,0.83921,0.83929,0.78150,
95,0.84053,0.83548,0.78043,
96,0.84151,0.83152,0.77945,
97,0.84324,0.82732,0.77834,
98,0.84499,0.82246,0.77708,
99,0.84681,0.81824,0.77528,
100,0.84851,0.81362,0.77336,
101,0.85038,0.80893,0.77311,
102,0.85152,0.80470,0.77277,
103,0.85313,0.80091,0.77178,
104,0.85484,0.79715,0.77142,
105,0.85673,0.79340,0.77207,
106,0.85894,0.78964,0.77266,
107,0.86076,0.78603,0.77434,
108,0.86293,0.78222,0.77718,
109,0.86495,0.77870,0.78067,
110,0.86716,0.77484,0.78463,
111,0.86925,0.77225,0.78821,
112,0.87151,0.76962,0.79149,
113,0.87405,0.76699,0.79428,
114,0.87578,0.76508,0.79717,
115,0.87669,0.76311,0.80000,
116,0.87689,0.76222,0.80208,
117,0.87698,0.76230,0.80347,
118,0.87770,0.76283,0.80491,
119,0.87805,0.76361,0.80584,
120,0.87804,0.76443,0.80616,
121,0.87849,0.76529,0.80643,
122,0.87852,0.76640,0.80697,
123,0.87801,0.76719,0.80883,
124,0.87803,0.76759,0.81138,
125,0.87785,0.76758,0.81399,
126,0.87771,0.76747,0.81641,
127,0.87752,0.76742,0.81967,
128,0.87717,0.76758,0.82343,
129,0.87617,0.76738,0.82739,
130,0.87461,0.76659,0.83109,
131,0.87221,0.76619,0.83462,
132,0.86922,0.76595,0.83784,
133,0.86545,0.76543,0.84142,
134,0.86098,0.76447,0.84540,
135,0.85645,0.76395,0.85035,
136,0.85216,0.76433,0.85468,
137,0.84786,0.76620,0.85835,
138,0.84326,0.76808,0.86173,
139,0.83960,0.76981,0.86489,
140,0.83622,0.77198,0.86796,
141,0.83267,0.77470,0.87053,
142,0.82900,0.77660,0.87270,
143,0.82547,0.77835,0.87444,
144,0.82252,0.77957,0.87537,
145,0.81903,0.78091,0.87574,
146,0.81509,0.78277,0.87573,
147,0.81084,0.78447,0.87522,
148,0.80646,0.78578,0.87440,
149,0.80205,0.78693,0.87493,
150,0.79793,0.78818,0.87545,
151,0.79328,0.79044,0.87588,
152,0.78897,0.79293,0.87628,
153,0.78473,0.79547,0.87610,
154,0.78132,0.79739,0.87548,
155,0.77771,0.79915,0.87479,
156,0.77456,0.80137,0.87332,
157,0.77182,0.80382,0.87132,
158,0.76961,0.80612,0.86894,
159,0.76743,0.80874,0.86683,
160,0.76661,0.81084,0.86510,
161,0.76678,0.81334,0.86331,
162,0.76704,0.81509,0.86155,
163,0.76788,0.81614,0.85983,
164,0.76871,0.81711,0.85908,
165,0.76928,0.81768,0.85834,
166,0.76978,0.81817,0.85778,
167,0.77021,0.81887,0.85646,
168,0.77086,0.81990,0.85476,
169,0.77160,0.82127,0.85264,
170,0.77265,0.82216,0.85001,
171,0.77320,0.82303,0.84765,
172,0.77340,0.82452,0.84620,
173,0.77423,0.82586,0.84534,
174,0.77641,0.82731,0.84419,
175,0.77852,0.82838,0.84217,
176,0.78025,0.82911,0.84016,
177,0.78206,0.83001,0.83850,
178,0.78466,0.83094,0.83639,
179,0.78681,0.83163,0.83361,
180,0.78820,0.83264,0.83031,
181,0.79009,0.83467,0.82709,
182,0.79184,0.83684,0.82345,
183,0.79297,0.83886,0.81986,
184,0.79404,0.84057,0.81600,
185,0.79447,0.84193,0.81196,
186,0.79473,0.84343,0.80744,
187,0.79549,0.84473,0.80339,
188,0.79613,0.84557,0.80063,
189,0.79596,0.84589,0.79822,
190,0.79525,0.84648,0.79657,
191,0.79454,0.84677,0.79541,
192,0.79414,0.84737,0.79412,
193,0.79363,0.84829,0.79451,
194,0.79379,0.84947,0.79442,
195,0.79360,0.84989,0.79446,
196,0.79263,0.85006,0.79476,
197,0.79166,0.85022,0.79503,
198,0.79139,0.85071,0.79528,
199,0.79229,0.85069,0.79591,
200,0.79400,0.85003,0.79612,
201,0.79520,0.84875,0.79636,
202,0.79592,0.84733,0.79600,
203,0.79587,0.84570,0.79509,
204,0.79584,0.84381,0.79419,
205,0.79644,0.84190,0.79275,
206,0.79780,0.83944,0.79139,
207,0.79896,0.83634,0.79071,
208,0.80112,0.83267,0.79036,
209,0.80310,0.82921,0.79092,
210,0.80484,0.82611,0.79267,
211,0.80676,0.82293,0.79461,
212,0.80956,0.81927,0.79730,
213,0.81256,0.81575,0.80004,
214,0.81539,0.81152,0.80278,
215,0.81771,0.80756,0.80561,
216,0.82009,0.80434,0.80808,
217,0.82213,0.80057,0.81045,
218,0.82382,0.79671,0.81282,
219,0.82644,0.79420,0.81462,
220,0.82842,0.79133,0.81654,
221,0.83022,0.78929,0.81806,
222,0.83144,0.78707,0.81921,
223,0.83218,0.78411,0.82029,
224,0.83236,0.78337,0.82116,
225,0.83309,0.78351,0.82194,
226,0.83368,0.78319,0.82258,
227,0.83354,0.78263,0.82357,
228,0.83287,0.78214,0.82418,
229,0.83290,0.78147,0.82438,
230,0.83260,0.78040,0.82456,
231,0.83198,0.77930,0.82619,
232,0.83197,0.77883,0.82753,
233,0.83264,0.77847,0.82805,
234,0.83401,0.77794,0.82834,
235,0.83566,0.77713,0.82917,
236,0.83685,0.77642,0.83034,
237,0.83760,0.77568,0.83179,
238,0.83797,0.77523,0.83309,
239,0.83784,0.77468,0.83430,
240,0.83742,0.77449,0.83525,
241,0.83651,0.77552,0.83593,
242,0.83515,0.77688,0.83630,
243,0.83332,0.77810,0.83629,
244,0.83151,0.77949,0.83628,
245,0.82993,0.78120,0.83649,
246,0.82753,0.78308,0.83663,
247,0.82590,0.78479,0.83750,
248,0.82508,0.78727,0.83796,
249,0.82489,0.78995,0.83795,
250,0.82497,0.79254,0.83810,
251,0.82565,0.79542,0.83872,
252,0.82581,0.79776,0.83920,
253,0.82580,0.79930,0.83993,
254,0.82546,0.80004,0.84051,
255,0.82462,0.80060,0.84109,
256,0.82371,0.80099,0.84223,
257,0.82249,0.80242,0.84293,
258,0.82077,0.80462,0.84324,
259,0.81934,0.80610,0.84312,
260,0.81760,0.80752,0.84217,
261,0.81517,0.80896,0.84134,
262,0.81230,0.80986,0.83975,
263,0.80907,0.81098,0.83793,
264,0.80572,0.81185,0.83660,
265,0.80285,0.81239,0.83465,
266,0.80119,0.81274,0.83205,
267,0.80036,0.81335,0.82907,
268,0.79948,0.81477,0.82568,
269,0.79871,0.81572,0.82241,
270,0.79834,0.81620,0.81973,
